Year,Player_Name,Matches_Played,Not_Outs,Runs_Scored,Highest_Score,Batting_Average,Balls_Faced,Batting_Strike_Rate,Half_Centuries,Fours,Sixes,Catches_Taken,Balls_Bowled,Runs_Conceded,Wickets_Taken,Bowling_Average,Four_Wicket_Hauls
2024,Jasprit Bumrah,1,1,1,1*,0,1,100,0,0,0,0,24,14,3,4.67,0
2022,Jasprit Bumrah,14,4,0,0*,0,8,0,0,0,0,2,320,383,15,25.53,0
2021,Jasprit Bumrah,14,5,16,5*,8,17,94.11,0,2,0,4,330,410,21,19.52,0
2020,Jasprit Bumrah,15,1,5,5*,0,3,166.66,0,0,0,0,360,404,27,14.96,2
2019,Jasprit Bumrah,16,3,0,0*,0,1,0,0,0,0,2,370,409,19,21.52,0
2018,Jasprit Bumrah,14,2,10,6*,10,11,90.9,0,1,0,4,324,372,17,21.88,0
2017,Jasprit Bumrah,16,1,17,16*,17,12,133.33,0,0,1,2,356,439,20,21.95,0
2016,Jasprit Bumrah,14,1,8,6,8,11,72.72,0,1,0,1,312,406,15,27.06,0
2015,Jasprit Bumrah,4,1,0,0,0,0,0,0,0,0,0,90,184,3,61.33,0
2014,Jasprit Bumrah,11,2,1,1*,0,3,33.33,0,0,0,0,238,301,5,60.2,0
2013,Jasprit Bumrah,2,0,0,0,0,0,0,0,0,0,0,42,70,3,23.33,0
2023,Kumar Kartikeya Singh,8,0,6,6,6,7,85.71,0,1,0,1,156,227,5,45.4,0
2022,Kumar Kartikeya Singh,4,0,3,3,3,5,60,0,0,0,0,78,102,5,20.4,0
2024,Piyush Chawla,1,0,0,0,0,1,0,0,0,0,0,18,31,1,31,0
2023,Piyush Chawla,16,2,25,18,12.5,22,113.64,0,1,1,1,366,495,22,22.5,0
2021,Piyush Chawla,1,0,0,0*,0,2,0,0,0,0,0,24,38,1,38,0
2019,Piyush Chawla,13,2,42,14*,14,37,113.51,0,4,2,5,267,399,10,39.9,0
2018,Piyush Chawla,15,3,27,12,6.75,34,79.41,0,1,1,4,294,412,14,29.42,0
2017,Piyush Chawla,6,0,2,2,2,6,33.33,0,0,0,1,120,179,6,29.83,0
2016,Piyush Chawla,12,0,27,11,9,26,103.84,0,4,0,3,212,273,11,24.81,0
2015,Piyush Chawla,13,4,54,22,13.5,47,114.89,0,5,2,2,210,269,11,24.45,1
2014,Piyush Chawla,11,2,31,17*,10.33,19,163.15,0,4,1,3,237,303,14,21.64,0
2013,Piyush Chawla,16,5,64,23,10.66,57,112.28,0,5,3,1,350,418,11,38,0
2012,Piyush Chawla,16,4,106,21*,13.25,88,120.45,0,9,4,3,342,419,16,26.18,0
2011,Piyush Chawla,12,3,48,15,16,55,87.27,0,2,2,3,248,336,16,21,1
2010,Piyush Chawla,14,1,62,22,12.4,60,103.33,0,7,0,3,294,367,12,30.58,0
2009,Piyush Chawla,14,5,31,8*,6.2,36,86.11,0,3,0,6,269,308,12,25.66,0
2008,Piyush Chawla,15,3,90,24*,22.5,59,152.54,0,10,3,6,281,389,17,22.88,0
2020,Piyush Chawla,7,0,0,0,0,0,0,0,0,0,0,126,191,6,31.83,0
2023,Akash Madhwal,8,0,0,0,0,0,0,0,0,0,0,153,219,14,15.64,1
2024,Luke Wood,1,0,0,0,0,0,0,0,0,0,0,12,25,0,0,0
No stats,Dilshan Madushanka,0,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats
2022,Shreyas Gopal,1,1,9,9*,0,7,128.57,0,2,0,0,18,34,1,34,0
2021,Shreyas Gopal,3,1,7,7*,7,5,140,0,0,1,0,42,84,0,0,0
2020,Shreyas Gopal,14,1,37,23*,9.25,39,94.87,0,3,0,2,300,427,10,42.7,0
2019,Shreyas Gopal,14,3,63,19*,15.75,46,136.95,0,8,1,5,288,347,20,17.35,0
2018,Shreyas Gopal,11,1,50,24,16.66,45,111.11,0,5,0,3,186,236,11,21.45,1
2016,Shreyas Gopal,1,0,2,2,2,16,12.5,0,0,0,0,18,18,0,0,0
2015,Shreyas Gopal,1,1,1,1*,0,1,100,0,0,0,0,13,23,1,23,0
2014,Shreyas Gopal,4,0,11,11,11,10,110,0,1,0,1,84,113,6,18.83,0
No stats,Nuwan Thushara,0,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats
2024,Shikhar Dhawan,2,0,67,45,33.5,53,126.42,0,9,1,0,0,0,0,0,0
2023,Shikhar Dhawan,11,2,373,99*,41.44,261,142.91,3,49,12,4,0,0,0,0,0
2022,Shikhar Dhawan,14,2,460,88*,38.33,375,122.67,3,47,12,10,0,0,0,0,0
2021,Shikhar Dhawan,16,1,587,92,39.13,471,124.62,3,63,16,9,0,0,0,0,0
2020,Shikhar Dhawan,17,3,618,106*,44.14,427,144.73,4,67,12,5,0,0,0,0,0
2019,Shikhar Dhawan,16,1,521,97*,34.73,384,135.67,5,64,11,5,0,0,0,0,0
2018,Shikhar Dhawan,16,3,497,92*,38.23,363,136.91,4,59,14,12,0,0,0,0,0
2017,Shikhar Dhawan,14,1,479,77,36.84,376,127.39,3,53,9,7,0,0,0,0,0
2016,Shikhar Dhawan,17,4,501,82*,38.53,429,116.78,4,51,8,5,0,0,0,0,0
2015,Shikhar Dhawan,14,1,353,54,27.15,286,123.42,3,45,6,6,0,0,0,0,0
2014,Shikhar Dhawan,14,1,377,64*,29,319,118.18,2,49,7,5,0,0,0,0,0
2013,Shikhar Dhawan,10,2,311,73*,38.87,253,122.92,3,37,5,6,0,27,0,0,0
2012,Shikhar Dhawan,15,1,569,84,40.64,439,129.61,5,58,18,5,36,55,3,18.33,0
2011,Shikhar Dhawan,14,2,400,95*,33.33,310,129.03,2,47,7,6,12,11,1,11,0
2010,Shikhar Dhawan,10,0,191,56,19.1,170,112.35,2,23,3,4,0,0,0,0,0
2009,Shikhar Dhawan,5,0,40,22,10,45,88.88,0,3,0,2,0,0,0,0,0
2008,Shikhar Dhawan,14,5,340,68*,37.77,295,115.25,4,35,8,8,0,0,0,0,0
2024,Jitesh Sharma,2,0,36,27,18,29,124.14,0,2,2,4,0,0,0,0,0
2023,Jitesh Sharma,14,1,309,49*,23.77,198,156.06,0,22,21,3,0,0,0,0,0
2022,Jitesh Sharma,12,2,234,44,29.25,143,163.64,0,22,12,9,0,0,0,0,0
2024,Jonny Bairstow,2,0,17,9,8.5,9,188.89,0,4,0,1,0,0,0,0,0
2022,Jonny Bairstow,11,0,253,66,23,175,144.57,2,34,9,2,0,0,0,0,0
2021,Jonny Bairstow,7,1,248,63*,41.33,175,141.71,2,20,15,2,0,0,0,0,0
2020,Jonny Bairstow,11,0,345,97,31.36,272,126.83,3,31,13,7,0,0,0,0,0
2019,Jonny Bairstow,10,2,445,114,55.62,283,157.24,2,48,18,9,0,0,0,0,0
2024,Prabhsimran Singh,2,0,51,26,25.5,34,150,0,7,2,0,0,0,0,0,0
2023,Prabhsimran Singh,14,0,358,103,25.57,238,150.42,1,38,19,1,0,0,0,0,0
2022,Prabhsimran Singh,1,0,14,14,14,11,127.27,0,2,0,0,0,0,0,0,0
2021,Prabhsimran Singh,2,0,19,12,9.5,23,82.6,0,1,1,0,0,0,0,0,0
2020,Prabhsimran Singh,2,0,15,11,7.5,15,100,0,2,0,1,0,0,0,0,0
2019,Prabhsimran Singh,1,0,16,16,16,17,94.11,0,1,1,1,0,0,0,0,0
2024,Liam Livingstone,2,1,55,38*,55,34,161.76,0,3,4,0,0,0,0,0,0
2023,Liam Livingstone,9,1,279,94,34.88,171,163.16,2,20,19,4,42,94,2,47,0
2022,Liam Livingstone,14,2,437,70,36.42,240,182.08,4,29,34,6,138,202,6,33.67,0
2021,Liam Livingstone,5,0,42,25,8.4,41,102.43,0,3,1,3,0,0,0,0,0
2019,Liam Livingstone,4,1,70,44,23.33,48,145.83,0,6,5,4,6,13,0,0,0
2023,Harpreet Bhatia,3,0,76,41,25.33,59,128.81,0,8,3,1,0,0,0,0,0
2012,Harpreet Bhatia,1,0,6,6,6,6,100,0,0,0,0,0,0,0,0,0
2011,Harpreet Bhatia,2,1,14,13,14,20,70,0,0,0,2,0,0,0,0,0
2010,Harpreet Bhatia,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,Rilee Rossouw,9,2,209,82*,29.86,141,148.23,1,17,11,3,0,0,0,0,0
2015,Rilee Rossouw,2,0,14,14,7,10,140,0,1,1,2,0,0,0,0,0
2014,Rilee Rossouw,3,0,39,24,13,41,95.12,0,2,2,0,0,0,0,0,0
2024,Shashank Singh,2,1,21,21*,21,9,233.33,0,1,2,1,0,0,0,0,0
2022,Shashank Singh,10,1,69,25*,17.25,47,146.81,0,5,4,3,12,20,0,0,0
2021,Chris Woakes,3,1,15,15*,0,11,136.36,0,2,0,0,66,82,5,16.4,0
2018,Chris Woakes,5,2,17,11,8.5,19,89.47,0,1,1,1,110,190,8,23.75,0
2017,Chris Woakes,13,3,46,18,11.5,47,97.87,0,4,1,6,264,386,17,22.7,0
No stats,Vishwanath Pratap Singh,0,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats
No stats,Ashutosh Sharma,0,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats
No stats,Tanay Thyagarajann,0,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats
2023,Atharva Taide,7,0,186,66,26.57,129,144.19,2,20,6,5,0,0,0,0,0
2023,Rishi Dhawan,6,1,20,19,10,12,166.67,0,1,1,3,42,60,1,60,0
2022,Rishi Dhawan,6,2,37,21*,18.5,40,92.5,0,4,2,2,114,156,6,26,0
2016,Rishi Dhawan,2,2,14,11*,0,6,233.33,0,0,1,0,42,56,2,28,0
2015,Rishi Dhawan,5,3,36,25*,18,33,109.09,0,2,2,0,72,110,1,110,0
2014,Rishi Dhawan,13,4,82,23*,41,75,109.33,0,8,1,3,284,365,13,28.07,0
2013,Rishi Dhawan,6,1,21,14,7,21,100,0,3,0,3,90,109,2,54.5,0
2024,Sam Curran,2,0,86,63,43,64,134.38,1,9,1,1,24,40,1,40,0
2023,Sam Curran,14,3,276,55,27.6,203,135.96,1,20,13,5,287,489,10,48.9,0
2021,Sam Curran,9,1,56,34,18.66,29,193.1,0,5,3,1,198,328,9,36.44,0
2020,Sam Curran,14,3,186,52,23.25,141,131.91,1,12,12,7,252,344,13,26.46,0
2019,Sam Curran,9,4,95,55*,23.75,55,172.72,1,13,3,2,198,323,10,32.3,1
2023,Sikandar Raza,7,2,139,57,27.8,98,141.84,1,10,6,5,72,119,3,39.67,0
No stats,Shivam singh,0,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats
No stats,Prince Choudhary,0,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats
2024,Harpreet Brar,2,2,4,2*,0,4,100,0,0,0,2,42,27,3,9,0
2023,Harpreet Brar,13,2,52,17*,8.67,41,126.83,0,5,2,2,163,218,9,24.22,1
2022,Harpreet Brar,5,0,22,14,7.33,25,88,0,1,2,3,96,146,4,36.5,0
2021,Harpreet Brar,7,5,64,25*,0,58,110.34,0,3,2,2,138,139,5,27.8,0
2020,Harpreet Brar,1,0,0,0,0,0,0,0,0,0,0,24,41,0,0,0
2019,Harpreet Brar,2,1,20,20*,0,12,166.66,0,2,1,0,30,48,0,0,0
2024,Arshdeep Singh,2,0,0,0,0,0,0,0,0,0,0,44,68,2,34,0
2023,Arshdeep Singh,14,2,2,2*,0,2,100,0,0,0,1,305,493,17,29,1
2022,Arshdeep Singh,14,3,21,10*,7,29,72.41,0,3,0,4,300,385,10,38.5,0
2021,Arshdeep Singh,12,2,2,1*,0,3,66.66,0,0,0,4,248,342,18,19,0
2020,Arshdeep Singh,8,0,0,0*,0,3,0,0,0,0,2,149,218,9,24.22,0
2019,Arshdeep Singh,3,0,0,0,0,0,0,0,0,0,0,60,109,3,36.33,0
2024,Kagiso Rabada,2,0,0,0,0,0,0,0,0,0,0,48,59,3,19.67,0
2023,Kagiso Rabada,6,1,0,0,0,2,0,0,0,0,0,138,232,7,33.14,0
2022,Kagiso Rabada,13,3,48,25,9.6,43,111.63,0,5,2,2,288,406,23,17.65,2
2021,Kagiso Rabada,15,2,13,9*,13,6,216.66,0,2,0,9,336,456,15,30.4,0
2020,Kagiso Rabada,17,4,56,15*,14,49,114.28,0,4,2,8,394,548,30,18.26,2
2019,Kagiso Rabada,12,1,14,9,4.66,15,93.33,0,0,1,6,282,368,25,14.72,2
2017,Kagiso Rabada,6,0,55,44,18.33,64,85.93,0,5,1,0,128,188,6,31.33,0
2023,Nathan Ellis,10,0,1,1,0.5,7,14.29,0,0,0,2,228,339,13,26.08,1
2022,Nathan Ellis,2,0,0,0,0,2,0,0,0,0,1,36,55,3,18.33,0
2021,Nathan Ellis,3,1,18,12,18,16,112.5,0,0,1,0,72,98,1,98,0
2024,Rahul Chahar,2,0,0,0,0,0,0,0,0,0,1,30,49,1,49,0
2023,Rahul Chahar,14,1,0,0,0,9,0,0,0,0,4,298,385,8,48.13,0
2022,Rahul Chahar,13,2,77,25*,12.83,68,113.24,0,7,4,5,280,360,14,25.71,0
2021,Rahul Chahar,11,0,14,8,2.8,15,93.33,0,1,0,3,258,318,13,24.46,1
2020,Rahul Chahar,15,1,2,2*,0,4,50,0,0,0,4,318,433,15,28.86,0
2019,Rahul Chahar,13,2,12,10,6,11,109.09,0,2,0,3,282,308,13,23.69,0
2017,Rahul Chahar,3,1,3,3*,0,2,150,0,0,0,1,42,58,2,29,0
No stats,Vidwath Kaverappa,0,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats
2024,Harshal Patel,2,0,0,0,0,0,0,0,0,0,0,48,92,3,30.67,0
2023,Harshal Patel,13,0,6,6,3,6,100,0,0,1,2,282,454,14,32.43,0
2022,Harshal Patel,15,3,43,11,8.6,39,110.26,0,4,2,3,321,410,19,21.58,1
2021,Harshal Patel,15,4,59,31,14.75,46,128.26,0,6,2,3,338,459,32,14.34,1
2020,Harshal Patel,5,0,21,16,10.5,24,87.5,0,2,0,1,90,134,3,44.66,0
2019,Harshal Patel,2,1,0,0*,0,2,0,0,0,0,0,48,77,2,38.5,0
2018,Harshal Patel,5,1,60,36*,60,33,181.81,0,1,6,0,105,167,7,23.85,0
2017,Harshal Patel,1,0,0,0,0,0,0,0,0,0,0,24,43,3,14.33,0
2016,Harshal Patel,5,1,0,0,0,0,0,0,0,0,2,84,147,1,147,0
2015,Harshal Patel,15,2,19,9*,3.8,12,158.33,0,0,2,1,263,328,17,19.29,0
2014,Harshal Patel,3,1,13,6,6.5,7,185.71,0,1,1,0,66,113,4,28.25,0
2012,Harshal Patel,12,1,15,10,7.5,15,100,0,1,0,8,246,340,9,37.77,0
2024,Sanju Samson,1,1,82,82*,0,52,157.69,1,3,6,0,0,0,0,0,0
2023,Sanju Samson,14,2,362,66*,30.17,236,153.39,3,25,24,3,0,0,0,0,0
2022,Sanju Samson,17,1,458,55,28.63,312,146.79,2,43,26,14,0,0,0,0,0
2021,Sanju Samson,14,2,484,119,40.33,354,136.72,2,45,17,7,0,0,0,0,0
2020,Sanju Samson,14,1,375,85,28.84,236,158.89,3,21,26,9,0,0,0,0,0
2019,Sanju Samson,12,2,342,102*,34.2,230,148.69,0,28,13,4,0,0,0,0,0
2018,Sanju Samson,15,1,441,92*,31.5,320,137.81,3,30,19,5,0,0,0,0,0
2017,Sanju Samson,14,0,386,102,27.57,273,141.39,2,32,19,4,0,0,0,0,0
2016,Sanju Samson,14,3,291,60,26.45,259,112.35,1,20,8,3,0,0,0,0,0
2015,Sanju Samson,14,1,204,76,20.4,163,125.15,1,16,8,9,0,0,0,0,0
2014,Sanju Samson,13,0,339,74,26.07,273,124.17,2,25,17,5,0,0,0,0,0
2013,Sanju Samson,11,2,206,63,25.75,178,115.73,1,19,5,13,0,0,0,0,0
2024,Jos Buttler,1,0,11,11,11,9,122.22,0,2,0,1,0,0,0,0,0
2023,Jos Buttler,14,0,392,95,28,282,139.01,4,42,14,9,0,0,0,0,0
2022,Jos Buttler,17,2,863,116,57.53,579,149.05,4,83,45,9,0,0,0,0,0
2021,Jos Buttler,7,0,254,124,36.28,166,153.01,0,27,13,3,0,0,0,0,0
2020,Jos Buttler,13,2,328,70*,32.8,227,144.49,2,27,16,6,0,0,0,0,0
2019,Jos Buttler,8,0,311,89,38.87,205,151.7,3,38,14,8,0,0,0,0,0
2018,Jos Buttler,13,3,548,95*,54.8,353,155.24,5,52,21,9,0,0,0,0,0
2017,Jos Buttler,10,0,272,77,27.2,177,153.67,1,27,15,1,0,0,0,0,0
2016,Jos Buttler,14,3,255,41,23.18,184,138.58,0,23,11,7,0,0,0,0,0
2024,Shimron Hetmyer,1,0,5,5,5,7,71.43,0,0,0,0,0,0,0,0,0
2023,Shimron Hetmyer,14,5,300,56*,37.5,197,152.28,1,12,23,11,0,0,0,0,0
2022,Shimron Hetmyer,15,8,314,59*,44.86,204,153.92,1,21,21,3,0,0,0,0,0
2021,Shimron Hetmyer,14,6,242,53*,34.57,144,168.05,1,19,12,4,0,0,0,0,0
2020,Shimron Hetmyer,12,3,185,45,23.12,125,148,0,11,12,7,0,0,0,0,0
2019,Shimron Hetmyer,5,0,90,75,18,73,123.28,1,4,7,3,0,0,0,0,0
2024,Yashasvi Jaiswal,1,0,24,24,24,12,200,0,3,1,0,0,0,0,0,0
2023,Yashasvi Jaiswal,14,1,625,124,48.08,382,163.61,5,82,26,8,0,0,0,0,0
2022,Yashasvi Jaiswal,10,0,258,68,25.8,194,132.99,2,28,10,2,1,6,0,0,0
2021,Yashasvi Jaiswal,10,0,249,50,24.9,168,148.21,1,32,10,3,0,0,0,0,0
2020,Yashasvi Jaiswal,3,0,40,34,13.33,44,90.9,0,2,2,1,0,0,0,0,0
2024,Dhruv Jurel,1,1,20,20*,0,12,166.67,0,1,1,3,0,0,0,0,0
2023,Dhruv Jurel,13,4,152,34*,21.71,88,172.73,0,11,9,1,0,0,0,0,0
2024,Riyan Parag,1,0,43,43,43,29,148.28,0,1,3,0,0,0,0,0,0
2023,Riyan Parag,7,1,78,20,13,66,118.18,0,4,5,1,0,0,0,0,0
2022,Riyan Parag,17,3,183,56*,16.64,132,138.64,1,11,10,17,24,59,1,59,0
2021,Riyan Parag,11,2,93,25,11.62,83,112.04,0,6,4,6,37,73,1,73,0
2020,Riyan Parag,12,1,86,42*,12.28,77,111.68,0,6,3,1,12,27,0,0,0
2019,Riyan Parag,7,0,160,50,32,126,126.98,1,17,5,5,84,121,2,60.5,0
No stats,Kunal Rathore,0,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats
No stats,Donovan Ferreira,0,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats
2023,Rovman Powell,3,0,7,4,2.33,9,77.78,0,1,0,0,12,18,1,18,0
2022,Rovman Powell,14,2,250,67*,25,167,149.7,1,10,22,10,6,17,0,0,0
No stats,Shubham Dubey,0,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats
No stats,Tom Kohler-Cadmore,0,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats
2024,Ravichandran Ashwin,1,0,0,0,0,0,0,0,0,0,0,24,35,1,35,0
2023,Ravichandran Ashwin,13,4,67,30,11.17,51,131.37,0,5,3,1,294,368,14,26.29,0
2022,Ravichandran Ashwin,17,5,191,50,27.29,135,141.48,1,14,9,5,402,503,12,41.92,0
2021,Ravichandran Ashwin,13,2,44,20*,14.66,42,104.76,0,2,1,3,268,331,7,47.28,0
2020,Ravichandran Ashwin,15,3,37,14*,12.33,34,108.82,0,3,1,2,306,391,13,30.07,0
2019,Ravichandran Ashwin,14,1,42,17*,8.4,28,150,0,3,3,4,330,400,15,26.66,0
2018,Ravichandran Ashwin,14,1,102,45,12.75,71,143.66,0,7,5,5,304,410,10,41,0
2016,Ravichandran Ashwin,14,4,41,29,20.5,38,107.89,0,3,1,3,264,319,10,31.9,1
2015,Ravichandran Ashwin,14,3,52,23,17.33,32,162.5,0,6,1,3,234,228,10,22.8,0
2014,Ravichandran Ashwin,16,3,45,14,15,45,100,0,4,0,1,359,437,16,27.31,0
2013,Ravichandran Ashwin,18,1,35,11*,8.75,49,71.42,0,4,0,4,348,390,15,26,0
2012,Ravichandran Ashwin,19,2,18,8,6,15,120,0,2,0,5,395,432,14,30.85,0
2011,Ravichandran Ashwin,16,0,2,2,1,6,33.33,0,0,0,4,378,388,20,19.4,0
2010,Ravichandran Ashwin,12,2,30,11*,7.5,40,75,0,2,0,1,288,293,13,22.53,0
2009,Ravichandran Ashwin,2,0,8,8,8,15,53.33,0,1,0,2,24,13,2,6.5,0
No stats,Tanush Kotian,0,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats
No stats,Abid Mushtaq,0,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats
2024,Avesh Khan,1,0,0,0,0,0,0,0,0,0,0,18,21,0,0,0
2023,Avesh Khan,9,1,0,0*,0,1,0,0,0,0,2,174,283,8,35.38,0
2022,Avesh Khan,13,3,22,12,22,13,169.23,0,0,3,2,286,416,18,23.11,1
2021,Avesh Khan,16,1,5,5*,0,3,166.66,0,1,0,1,366,450,24,18.75,0
2020,Avesh Khan,1,0,0,0,0,0,0,0,0,0,0,24,42,0,0,0
2019,Avesh Khan,1,1,4,4*,0,3,133.33,0,1,0,1,18,30,0,0,0
2018,Avesh Khan,6,0,0,0,0,0,0,0,0,0,3,114,204,4,51,0
2017,Avesh Khan,1,0,0,0,0,0,0,0,0,0,0,24,23,1,23,0
2023,Kuldeep Sen,2,0,0,0,0,0,0,0,0,0,0,18,28,0,0,0
2022,Kuldeep Sen,7,1,0,0*,0,3,0,0,0,0,3,151,237,8,29.63,1
2023,Navdeep Saini,2,0,0,0,0,0,0,0,0,0,0,36,74,3,24.67,0
2022,Navdeep Saini,2,0,2,2,2,2,100,0,0,0,2,36,72,3,24,0
2021,Navdeep Saini,2,0,2,2,2,4,50,0,0,0,1,24,52,0,0,0
2020,Navdeep Saini,13,2,27,12*,27,27,100,0,3,0,2,274,379,6,63.16,0
2019,Navdeep Saini,13,1,2,2,2,4,50,0,0,0,3,288,397,11,36.09,0
2022,Prasidh Krishna,17,2,6,4*,6,12,50,0,0,0,2,399,551,19,29,0
2021,Prasidh Krishna,10,1,0,0*,0,1,0,0,0,0,3,231,351,12,29.25,0
2020,Prasidh Krishna,6,2,2,2*,0,4,50,0,0,0,1,105,164,4,41,0
2019,Prasidh Krishna,11,0,0,0*,0,2,0,0,0,0,2,242,377,4,94.25,0
2018,Prasidh Krishna,7,2,1,1*,0,5,20,0,0,0,1,168,260,10,26,1
2024,Sandeep Sharma,1,0,0,0,0,0,0,0,0,0,0,18,22,1,22,0
2023,Sandeep Sharma,12,2,2,2*,0,6,33.33,0,0,0,4,276,396,10,39.6,0
2022,Sandeep Sharma,5,0,0,0,0,0,0,0,0,0,2,120,153,2,76.5,0
2021,Sandeep Sharma,7,1,8,8*,8,7,114.28,0,1,0,1,141,203,3,67.66,0
2020,Sandeep Sharma,13,3,12,9,6,15,80,0,1,0,0,312,374,14,26.71,0
2019,Sandeep Sharma,11,2,6,5*,0,3,200,0,1,0,1,256,352,12,29.33,0
2018,Sandeep Sharma,12,1,0,0*,0,4,0,0,0,0,2,264,333,12,27.75,0
2017,Sandeep Sharma,13,4,7,5*,0,6,116.66,0,0,0,3,288,398,17,23.41,1
2016,Sandeep Sharma,14,4,8,5*,0,9,88.88,0,0,0,2,300,366,15,24.4,0
2015,Sandeep Sharma,14,2,9,7,9,14,64.28,0,1,0,2,300,350,13,26.92,1
2014,Sandeep Sharma,11,1,2,2*,0,5,40,0,0,0,1,241,354,18,19.66,0
2013,Sandeep Sharma,4,1,0,0,0,0,0,0,0,0,0,96,119,8,14.87,0
2024,Trent Boult,1,0,0,0,0,0,0,0,0,0,0,24,35,2,17.5,0
2023,Trent Boult,10,3,16,15,16,14,114.29,0,1,1,5,228,312,13,24,0
2022,Trent Boult,16,6,40,17*,20,29,137.93,0,2,1,2,372,492,16,30.75,0
2021,Trent Boult,14,4,1,1*,0,4,25,0,0,0,5,308,406,13,31.23,0
2020,Trent Boult,15,0,0,0*,0,1,0,0,0,0,4,344,457,25,18.28,1
2019,Trent Boult,5,2,7,6,7,4,175,0,0,1,2,114,163,5,32.6,0
2018,Trent Boult,14,0,0,0*,0,2,0,0,0,0,9,316,466,18,25.88,0
2017,Trent Boult,6,1,5,5*,0,8,62.5,0,0,0,0,143,216,5,43.2,0
2016,Trent Boult,1,0,0,0,0,0,0,0,0,0,1,24,39,1,39,0
2015,Trent Boult,7,0,0,0,0,0,0,0,0,0,2,168,236,9,26.22,0
2024,Yuzvendra Chahal,1,0,0,0,0,0,0,0,0,0,0,18,25,1,25,0
2023,Yuzvendra Chahal,14,0,0,0,0,0,0,0,0,0,1,317,432,21,20.57,3
2022,Yuzvendra Chahal,17,1,5,5,5,8,62.5,0,0,0,0,408,527,27,19.52,1
2021,Yuzvendra Chahal,15,2,10,8*,0,27,37.03,0,0,0,4,318,374,18,20.77,0
2020,Yuzvendra Chahal,15,1,1,1,1,3,33.33,0,0,0,1,343,405,21,19.28,0
2019,Yuzvendra Chahal,14,1,6,4,3,16,37.5,0,0,0,3,296,386,18,21.44,1
2018,Yuzvendra Chahal,14,1,0,0*,0,4,0,0,0,0,2,300,363,12,30.25,0
2017,Yuzvendra Chahal,13,3,13,4*,4.33,26,50,0,0,0,3,261,333,14,23.78,0
2016,Yuzvendra Chahal,13,0,0,0,0,0,0,0,0,0,4,295,401,21,19.09,1
2015,Yuzvendra Chahal,15,2,1,1*,0,1,100,0,0,0,4,281,415,23,18.04,0
2014,Yuzvendra Chahal,14,2,1,1*,0,1,100,0,0,0,3,330,386,12,32.16,0
2013,Yuzvendra Chahal,1,0,0,0,0,0,0,0,0,0,0,24,34,0,0,0
2017,Adam Zampa,6,0,5,5,5,7,71.42,0,1,0,0,119,163,7,23.28,0
2016,Adam Zampa,5,0,0,0*,0,1,0,0,0,0,0,102,115,12,9.58,0
2020,Adam Zampa,3,0,0,0,0,0,0,0,0,0,0,66,92,2,46,0
2024,Nandre Burger,1,0,0,0,0,0,0,0,0,0,1,18,30,1,30,0
2024,Faf du Plessis,2,0,38,35,19,30,126.67,0,8,0,0,0,0,0,0,0
2023,Faf du Plessis,14,1,730,84,56.15,475,153.68,8,60,36,3,0,0,0,0,0
2022,Faf du Plessis,16,1,468,96,31.2,367,127.52,3,49,13,4,0,0,0,0,0
2021,Faf du Plessis,16,2,633,95*,45.21,458,138.2,6,60,23,12,0,0,0,0,0
2020,Faf du Plessis,13,2,449,87*,40.81,319,140.75,4,42,14,12,0,0,0,0,0
2019,Faf du Plessis,12,1,396,96,36,321,123.36,3,36,15,12,0,0,0,0,0
2018,Faf du Plessis,6,1,162,67*,32.4,129,125.58,1,17,6,1,0,0,0,0,0
2017,Faf du Plessis,2,0,8,8,8,7,114.28,0,1,0,0,0,0,0,0,0
2016,Faf du Plessis,6,0,206,69,34.33,162,127.16,2,17,9,4,0,0,0,0,0
